,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
10,"In December 1941, American expatriate Rick Blaine owns a nightclub and gambling den in Casablanca. ""Rick's Café Américain"" attracts a varied clientele, including Vichy French and Nazi German officials, refugees desperate to reach the neutral United States, and those who prey on them. Although Rick professes to be neutral in all matters, he ran guns to Ethiopia in 1935 and fought on the Loyalist side in the Spanish Civil War.",2,2_michael_vito_sheeran_hoffa,"['michael', 'vito', 'sheeran', 'hoffa', 'maría', 'tony', 'family', 'laszlo', 'bernardo', 'gangs']","In 1945, the New York City Corleone family don, Vito Corleone, listens to requests during his daughter Connie's wedding to Carlo Rizzi. Vito's youngest son Michael, a Marine who has thus far stayed out of the family business, introduces his girlfriend, Kay Adams, to his family at the reception. Johnny Fontane, a popular singer and Vito's godson, seeks Vito's help in securing a movie role. Vito sends his consigliere, Tom Hagen, to persuade studio president Jack Woltz to offer Johnny the part. Woltz refuses Hagen's request at first, but soon complies after finding the severed head of his prized stud horse in his bed.",michael - vito - sheeran - hoffa - maría - tony - family - laszlo - bernardo - gangs,1.0,False
11,"Mademoiselle Henriette Deluzy-Desportes, a French woman, starts teaching at an American girls school. She is confronted by the tales and gossip about her that circulate among her pupils and, thus provoked, she decides to tell them her life story.",1,1_jones_van_ace_homer,"['jones', 'van', 'ace', 'homer', 'german', 'paul', 'stevens', 'valjean', 'darlington', 'charley']","In the film, Herbert Marshall appears as W. Somerset Maugham, the story's narrator and an important character who drifts in and out of the lives of the other major players. The opening scene is at a party in the summer of 1919 at a Chicago country club. Elliott Templeton, an expatriate who has been living in France, has returned to the United States to visit his sister, Louisa Bradley, and his niece, Isabel. Isabel is engaged to marry Larry Darrell, recently returned from service as a pilot during the Great War. Elliott disapproves of Larry because he has no money and no interest in getting a job with a future so he can support Isabel properly. Among the party guests are Larry's childhood friend Sophie Nelson and her boyfriend, Bob MacDonald.",jones - van - ace - homer - german - paul - stevens - valjean - darlington - charley,0.3044600866722427,False
12,"In 1973 Phnom Penh, the Cambodian national army wages a civil war with the communist Khmer Rouge group. Dith Pran, a Cambodian journalist and interpreter for The New York Times, awaits the arrival of reporter Sydney Schanberg at the city's airport, but leaves suddenly. Schanberg takes a cab to his hotel where he meets up with photographer Al Rockoff. Pran meets Schanberg later and tells him that an American B-52 has allegedly bombed Neak Leung. After Schanberg and Pran go to the town and confirm the allegation, they are arrested when they try to photograph the execution of two Khmer Rouge operatives. They are eventually released and Schanberg is furious when the international press corps arrives with the U.S. Army.",1,1_jones_van_ace_homer,"['jones', 'van', 'ace', 'homer', 'german', 'paul', 'stevens', 'valjean', 'darlington', 'charley']","In the film, Herbert Marshall appears as W. Somerset Maugham, the story's narrator and an important character who drifts in and out of the lives of the other major players. The opening scene is at a party in the summer of 1919 at a Chicago country club. Elliott Templeton, an expatriate who has been living in France, has returned to the United States to visit his sister, Louisa Bradley, and his niece, Isabel. Isabel is engaged to marry Larry Darrell, recently returned from service as a pilot during the Great War. Elliott disapproves of Larry because he has no money and no interest in getting a job with a future so he can support Isabel properly. Among the party guests are Larry's childhood friend Sophie Nelson and her boyfriend, Bob MacDonald.",jones - van - ace - homer - german - paul - stevens - valjean - darlington - charley,0.5916187213291131,False
13,"Homer Wells grows up at St. Cloud's, a Maine orphanage directed by avuncular Dr. Wilbur Larch. Homer is returned to St. Cloud's twice by foster parents. The first family felt Homer was too quiet (due to orphanage babies soon learning that crying is pointless). The second beat him. Dr. Larch is addicted to ether, and he secretly performs abortions. Conditions at the orphanage are sparse, but the children have love and respect, and they are like an extended family. Older children, such as Buster, look out for the younger children, and in particular care for those who are sickly, including Fuzzy Stone, who was born prematurely to an alcoholic mother. Fuzzy suffers from respiratory disease and thus spends most of his time beneath a plastic tent ventilated with a breathing apparatus. Each night before sleeping, Dr. Larch says to children ""Good night, you Princes of Maine! You Kings of New England!"" as both an encouragement and a kind of blessing.",1,1_jones_van_ace_homer,"['jones', 'van', 'ace', 'homer', 'german', 'paul', 'stevens', 'valjean', 'darlington', 'charley']","In the film, Herbert Marshall appears as W. Somerset Maugham, the story's narrator and an important character who drifts in and out of the lives of the other major players. The opening scene is at a party in the summer of 1919 at a Chicago country club. Elliott Templeton, an expatriate who has been living in France, has returned to the United States to visit his sister, Louisa Bradley, and his niece, Isabel. Isabel is engaged to marry Larry Darrell, recently returned from service as a pilot during the Great War. Elliott disapproves of Larry because he has no money and no interest in getting a job with a future so he can support Isabel properly. Among the party guests are Larry's childhood friend Sophie Nelson and her boyfriend, Bob MacDonald.",jones - van - ace - homer - german - paul - stevens - valjean - darlington - charley,0.35335438027229615,False
14,"Charley Partanna is a hitman for a New York Mafia family headed by the elderly Don Corrado Prizzi, whose business is generally handled by his sons Dominic and Eduardo and by his longtime right-hand man, Angelo, who is Charley's father.",1,1_jones_van_ace_homer,"['jones', 'van', 'ace', 'homer', 'german', 'paul', 'stevens', 'valjean', 'darlington', 'charley']","In the film, Herbert Marshall appears as W. Somerset Maugham, the story's narrator and an important character who drifts in and out of the lives of the other major players. The opening scene is at a party in the summer of 1919 at a Chicago country club. Elliott Templeton, an expatriate who has been living in France, has returned to the United States to visit his sister, Louisa Bradley, and his niece, Isabel. Isabel is engaged to marry Larry Darrell, recently returned from service as a pilot during the Great War. Elliott disapproves of Larry because he has no money and no interest in getting a job with a future so he can support Isabel properly. Among the party guests are Larry's childhood friend Sophie Nelson and her boyfriend, Bob MacDonald.",jones - van - ace - homer - german - paul - stevens - valjean - darlington - charley,0.414809404456332,False
15,"In 1945, the New York City Corleone family don, Vito Corleone, listens to requests during his daughter Connie's wedding to Carlo Rizzi. Vito's youngest son Michael, a Marine who has thus far stayed out of the family business, introduces his girlfriend, Kay Adams, to his family at the reception. Johnny Fontane, a popular singer and Vito's godson, seeks Vito's help in securing a movie role. Vito sends his consigliere, Tom Hagen, to persuade studio president Jack Woltz to offer Johnny the part. Woltz refuses Hagen's request at first, but soon complies after finding the severed head of his prized stud horse in his bed.",2,2_michael_vito_sheeran_hoffa,"['michael', 'vito', 'sheeran', 'hoffa', 'maría', 'tony', 'family', 'laszlo', 'bernardo', 'gangs']","In 1945, the New York City Corleone family don, Vito Corleone, listens to requests during his daughter Connie's wedding to Carlo Rizzi. Vito's youngest son Michael, a Marine who has thus far stayed out of the family business, introduces his girlfriend, Kay Adams, to his family at the reception. Johnny Fontane, a popular singer and Vito's godson, seeks Vito's help in securing a movie role. Vito sends his consigliere, Tom Hagen, to persuade studio president Jack Woltz to offer Johnny the part. Woltz refuses Hagen's request at first, but soon complies after finding the severed head of his prized stud horse in his bed.",michael - vito - sheeran - hoffa - maría - tony - family - laszlo - bernardo - gangs,1.0,True
16,"In 1907 a young Englishwoman, Lucy Honeychurch, and her cousin and chaperone, Charlotte Bartlett, stay at the Pensione Bertolini while on holiday in Florence. They are disappointed that their rooms lack a view of the River Arno as promised. At dinner they meet other English guests: the Reverend Mr. Beebe; two elderly spinster sisters, the Misses Alan; romance author Eleanor Lavish; the freethinking Mr. Emerson; and his quiet, handsome son George.",0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']","The story revolves around the life of Celie Harris in early 20th-century rural Hartwell, Georgia. Harris is a teenage African-American girl who is brutally raped and abused by her father. She secretly gives birth to two of his children. After the births, the father quickly takes them from Celie and gives them away. Celie shares a strong bond with her youngest sister Nettie as they play and learn the alphabet together. ",lucy - higgins - eliza - scarlett - henry - shakespeare - turing - irving - juror - family,0.5264367211245566,False
17,"United States Air Force Brigadier General Jack D. Ripper, the commander of Burpelson Air Force Base, orders his executive officer, Group Captain Lionel Mandrake (an exchange officer from the Royal Air Force), to put the base on alert (condition red, the most intense lockdown status), confiscate all privately owned radios from base personnel and issue ""Wing Attack Plan R"" to the planes of the 843rd Bomb Wing. At the time of issuance of that order, the planes, flying B-52 bombers armed with hydrogen bombs, are on airborne alert two hours from their targets inside the USSR. All the aircraft commence attack flights on the USSR and set their radios to allow communications only through their CRM 114 discriminators, which are designed to accept only communications preceded by a secret three-letter code known only to General Ripper. Happening upon a radio that had been missed earlier and hearing regular civilian broadcasting, Mandrake realizes that no attack order has been issued by the Pentagon and tries to stop Ripper, who locks them both in his office. Ripper tells Mandrake that he believes the Soviets have been fluoridating American water supplies to pollute the ""precious bodily fluids"" of Americans. Mandrake realizes Ripper has gone completely mad.",1,1_jones_van_ace_homer,"['jones', 'van', 'ace', 'homer', 'german', 'paul', 'stevens', 'valjean', 'darlington', 'charley']","In the film, Herbert Marshall appears as W. Somerset Maugham, the story's narrator and an important character who drifts in and out of the lives of the other major players. The opening scene is at a party in the summer of 1919 at a Chicago country club. Elliott Templeton, an expatriate who has been living in France, has returned to the United States to visit his sister, Louisa Bradley, and his niece, Isabel. Isabel is engaged to marry Larry Darrell, recently returned from service as a pilot during the Great War. Elliott disapproves of Larry because he has no money and no interest in getting a job with a future so he can support Isabel properly. Among the party guests are Larry's childhood friend Sophie Nelson and her boyfriend, Bob MacDonald.",jones - van - ace - homer - german - paul - stevens - valjean - darlington - charley,1.0,False
18,"At Chicago's fictional Lincoln International Airport, a Trans Global Airlines (TGA) Boeing 707 flight crew misjudge their turn from Runway 29 onto the taxiway, becoming stuck in the snow and closing that runway. Airport manager Mel Bakersfeld is forced to work overtime, causing tension with his wife, Cindy. A divorce seems imminent as he nurtures a closer relationship with a co-worker, customer relations agent Tanya Livingston.",1,1_jones_van_ace_homer,"['jones', 'van', 'ace', 'homer', 'german', 'paul', 'stevens', 'valjean', 'darlington', 'charley']","In the film, Herbert Marshall appears as W. Somerset Maugham, the story's narrator and an important character who drifts in and out of the lives of the other major players. The opening scene is at a party in the summer of 1919 at a Chicago country club. Elliott Templeton, an expatriate who has been living in France, has returned to the United States to visit his sister, Louisa Bradley, and his niece, Isabel. Isabel is engaged to marry Larry Darrell, recently returned from service as a pilot during the Great War. Elliott disapproves of Larry because he has no money and no interest in getting a job with a future so he can support Isabel properly. Among the party guests are Larry's childhood friend Sophie Nelson and her boyfriend, Bob MacDonald.",jones - van - ace - homer - german - paul - stevens - valjean - darlington - charley,0.47480073405705736,False
19,Virginia Cunningham is an apparently schizophrenic patient at a mental hospital called the Juniper Hill State Hospital. She hears voices and seems so out of touch with reality that she does not recognize her husband Robert.,0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']","The story revolves around the life of Celie Harris in early 20th-century rural Hartwell, Georgia. Harris is a teenage African-American girl who is brutally raped and abused by her father. She secretly gives birth to two of his children. After the births, the father quickly takes them from Celie and gives them away. Celie shares a strong bond with her youngest sister Nettie as they play and learn the alphabet together. ",lucy - higgins - eliza - scarlett - henry - shakespeare - turing - irving - juror - family,0.6707206095616759,False
20,"In 1959, the Clutter family murders take place on their Kansas farm. While reading The New York Times, Truman Capote is riveted by the story and calls The New Yorker magazine editor William Shawn to tell him that he plans to document the tragedy.",0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']","The story revolves around the life of Celie Harris in early 20th-century rural Hartwell, Georgia. Harris is a teenage African-American girl who is brutally raped and abused by her father. She secretly gives birth to two of his children. After the births, the father quickly takes them from Celie and gives them away. Celie shares a strong bond with her youngest sister Nettie as they play and learn the alphabet together. ",lucy - higgins - eliza - scarlett - henry - shakespeare - turing - irving - juror - family,0.5405159453350475,False
21,"During a 1978 funeral service in London in honour of the life of Harold Abrahams, headed by his former colleague Lord Andrew Lindsay, there is a flashback to when he was young and in a group of athletes running along a beach. ",-1,-1_judah_maximus_marcellus_heathcliff,"['judah', 'maximus', 'marcellus', 'heathcliff', 'crew', 'shelby', 'roman', 'nero', 'governor', 'demetrius']","In 180 AD, Roman general Maximus Decimus Meridius intends to return home after he leads the Roman army to victory against Germanic tribes near Vindobona. Emperor Marcus Aurelius tells Maximus that his own son, Commodus, is unfit to rule and that he wishes Maximus to succeed him, as regent, to restore the Roman Republic. Angered by this decision, Commodus secretly murders his father.",judah - maximus - marcellus - heathcliff - crew - shelby - roman - nero - governor - demetrius,0.32692050387739624,False
22,"In the Gulf of St. Lawrence, U-37, a German U-boat, sinks a Canadian freighter, then evades the RCN and RCAF by sailing into Hudson Bay. While a raiding party of six is ashore in search of food and fuel, the U-boat is sunk by RCAF bombers. The six survivors set out for the neutral United States, led by Lieutenants Hirth and Kuhnecke.",1,1_jones_van_ace_homer,"['jones', 'van', 'ace', 'homer', 'german', 'paul', 'stevens', 'valjean', 'darlington', 'charley']","In the film, Herbert Marshall appears as W. Somerset Maugham, the story's narrator and an important character who drifts in and out of the lives of the other major players. The opening scene is at a party in the summer of 1919 at a Chicago country club. Elliott Templeton, an expatriate who has been living in France, has returned to the United States to visit his sister, Louisa Bradley, and his niece, Isabel. Isabel is engaged to marry Larry Darrell, recently returned from service as a pilot during the Great War. Elliott disapproves of Larry because he has no money and no interest in getting a job with a future so he can support Isabel properly. Among the party guests are Larry's childhood friend Sophie Nelson and her boyfriend, Bob MacDonald.",jones - van - ace - homer - german - paul - stevens - valjean - darlington - charley,0.7768040605022855,False
23,"Jerry Warriner tells his wife he is going on vacation to Florida, but instead spends the week at his sports club in New York City. He returns home to find that his wife, Lucy, spent the night in the company of her handsome music teacher, Armand Duvalle. Lucy claims his car broke down unexpectedly. Lucy discovers that Jerry did not actually go to Florida. Their mutual suspicion results in divorce proceedings, with Lucy winning custody of their dog. The judge orders the divorce finalized in 90 days.",0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']","The story revolves around the life of Celie Harris in early 20th-century rural Hartwell, Georgia. Harris is a teenage African-American girl who is brutally raped and abused by her father. She secretly gives birth to two of his children. After the births, the father quickly takes them from Celie and gives them away. Celie shares a strong bond with her youngest sister Nettie as they play and learn the alphabet together. ",lucy - higgins - eliza - scarlett - henry - shakespeare - turing - irving - juror - family,0.49807634893126046,False
24,"In 2002, 6-year-old Mason Evans lives with his divorced mother, Olivia, and 8-year-old sister, Samantha, in a small town in Texas. Mason overhears Olivia arguing with her boyfriend, saying she has no free time due to parenting. ",0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']","The story revolves around the life of Celie Harris in early 20th-century rural Hartwell, Georgia. Harris is a teenage African-American girl who is brutally raped and abused by her father. She secretly gives birth to two of his children. After the births, the father quickly takes them from Celie and gives them away. Celie shares a strong bond with her youngest sister Nettie as they play and learn the alphabet together. ",lucy - higgins - eliza - scarlett - henry - shakespeare - turing - irving - juror - family,0.5765911697788698,False
25,"The Oklahoma land rush of 1889 prompts thousands to travel to the Oklahoma Territory to grab free government land; Yancey Cravat and his young bride, Sabra, cross the border from Kansas to join the throngs. In the ensuing race, Yancey is outwitted by a young prostitute, Dixie Lee, who takes the prime piece of real estate, the Bear Creek claim, that Yancey had targeted for himself.",0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']","The story revolves around the life of Celie Harris in early 20th-century rural Hartwell, Georgia. Harris is a teenage African-American girl who is brutally raped and abused by her father. She secretly gives birth to two of his children. After the births, the father quickly takes them from Celie and gives them away. Celie shares a strong bond with her youngest sister Nettie as they play and learn the alphabet together. ",lucy - higgins - eliza - scarlett - henry - shakespeare - turing - irving - juror - family,0.25765126659528714,False
26,"On the northwest frontier of India during the British Raj, Scottish Canadian  Lieutenant Alan McGregor, in charge of newcomers, welcomes two replacements to the 41st Bengal Lancers: Lieutenant John Forsythe and Lieutenant Donald Stone, the son of the unit's commander, Colonel Tom Stone. Lieutenant Stone, a ""cub"" (meaning a newly commissioned officer), eagerly anticipated serving on the Indian frontier, particularly because he specifically was requested and assumed that his father sent for him; Lieutenant Forsythe, an experienced cavalrymen and something of a teasing character, was sent out as a replacement for an officer who was killed in action. ",1,1_jones_van_ace_homer,"['jones', 'van', 'ace', 'homer', 'german', 'paul', 'stevens', 'valjean', 'darlington', 'charley']","In the film, Herbert Marshall appears as W. Somerset Maugham, the story's narrator and an important character who drifts in and out of the lives of the other major players. The opening scene is at a party in the summer of 1919 at a Chicago country club. Elliott Templeton, an expatriate who has been living in France, has returned to the United States to visit his sister, Louisa Bradley, and his niece, Isabel. Isabel is engaged to marry Larry Darrell, recently returned from service as a pilot during the Great War. Elliott disapproves of Larry because he has no money and no interest in getting a job with a future so he can support Isabel properly. Among the party guests are Larry's childhood friend Sophie Nelson and her boyfriend, Bob MacDonald.",jones - van - ace - homer - german - paul - stevens - valjean - darlington - charley,1.0,False
27,"In 1945, Otto Frank returns to Amsterdam after World War II ended. After climbing the stairs to a deserted garret, he is joined and comforted by Miep Gies and Mr. Kraler, office workers who shielded him and his family from the Nazis. Otto begins to search for the diary written by his youngest daughter, Anne. Miep promptly retrieves it for him and he receives solace reading the words written by Anne three years earlier.",1,1_jones_van_ace_homer,"['jones', 'van', 'ace', 'homer', 'german', 'paul', 'stevens', 'valjean', 'darlington', 'charley']","In the film, Herbert Marshall appears as W. Somerset Maugham, the story's narrator and an important character who drifts in and out of the lives of the other major players. The opening scene is at a party in the summer of 1919 at a Chicago country club. Elliott Templeton, an expatriate who has been living in France, has returned to the United States to visit his sister, Louisa Bradley, and his niece, Isabel. Isabel is engaged to marry Larry Darrell, recently returned from service as a pilot during the Great War. Elliott disapproves of Larry because he has no money and no interest in getting a job with a future so he can support Isabel properly. Among the party guests are Larry's childhood friend Sophie Nelson and her boyfriend, Bob MacDonald.",jones - van - ace - homer - german - paul - stevens - valjean - darlington - charley,1.0,True
