,Topic,Probability,Document
10,-1,0.18111135091917674,"In the fictional town of Ebbing, Missouri, Mildred Hayes is grieving over the rape and murder of her teen daughter, Angela, seven months earlier. Angry over the lack of progress in the investigation, she rents three disused billboards near her home and posts on them: ""Raped While Dying"", ""And Still No Arrests?"", ""How Come, Chief Willoughby?"". They attract attention, so Bill Willoughby, the local chief of police, visits Mildred, but is unable to persuade her to take them down, even by revealing he has terminal pancreatic cancer. He renews his efforts to solve the case, but does not get anywhere."
11,8,1.0,"In 1943, a contingent of British prisoners of war, led by Colonel Nicholson, arrive at a Japanese prison camp in Thailand. U.S. Navy Commander Shears tells Nicholson that the camp conditions are horrific. Nicholson forbids any escape attempts because headquarters ordered them to surrender. Also, the dense surrounding jungle renders escape virtually impossible."
12,3,1.0,"In the late 1890s, Cappadocian Greek young Stavros Topouzoglou lives in an impoverished village below Mount Argaeus in Ottoman Turkey. The life of the Cappadocian Greeks and Armenians of Kayseri is depicted, including the Derinkuyu Underground City traditional cliff cave dwellings in which Stavros' grandmother lives."
13,-1,0.17224791823886965,"London-based journalist Martin Sixsmith has lost his job as a government adviser. He is approached at a party by the daughter of Philomena Lee. She suggests that he write a story about her mother, who was forced to give up her toddler son Anthony nearly fifty years ago. Though Sixsmith is initially reluctant to write a human interest story, he meets Philomena and decides to investigate her case."
14,-1,0.187043549377637,"In the year 1787, the Bounty sets sail from Britain for Tahiti under the command of Captain William Bligh (Trevor Howard). His mission is to collect a shipload of breadfruit saplings and transport them to Jamaica. The government hopes the plants will thrive and provide a cheap source of food for the slaves."
15,-1,0.7243559168336087,"In 1929 Lynchburg, Virginia, young Desmond Doss nearly kills his brother while roughhousing. That event and his Seventh-day Adventist upbringing reinforce Desmond's belief in the commandment ""Thou shalt not kill"". Years later, Desmond takes an injured man to the hospital and meets a nurse, Dorothy Schutte. They strike a romance, and Desmond tells Dorothy of his interest in medical work."
16,0,0.29035935173779376,Three sisters living in Switzerland hear their father is going to marry a younger woman in New York. They travel there to stop it.
17,-1,0.6303352697586511,"In Los Angeles, Detective Graham Waters and his partner Ria are involved in a minor collision with a car being driven by Kim Lee. Ria and Kim Lee exchange racially charged insults. Waters later arrives at a crime scene, where the body of an unnamed dead child has been discovered. The film then backtracks 48 hours to trace the preceding chain of events."
18,3,1.0,"In 1904, Tsarina Alexandra Feodorovna, wife of Tsar Nicholas II of Russia, gives birth to their fifth child and first son, Alexei. Despite pleas from Grand Duke Nicholas and Count Sergei Witte, Nicholas refuses to end the Russo-Japanese War or accept demands for a constitutional monarchy, believing that doing either will make him look weak. The following year, Alexandra meets Grigori Rasputin, a self-proclaimed holy man, at a gala celebrating the birthday of Dowager Empress Marie Feodorovna. She later turns to Rasputin for spiritual guidance after court physician Dr. Eugene Botkin diagnoses Alexei with haemophilia."
19,-1,0.2051449396545817,"Jerry Maguire is a slick 35-year-old sports agent working for Sports Management International (SMI). After criticism from an injured player's son triggers a life-altering epiphany, he writes a mission statement about perceived dishonesty in the sports management business and his desire to work with fewer clients to produce a better, more caring personal relationship with them. "
20,1,1.0,"In 1941, gangster Benjamin ""Bugsy"" Siegel, who had partnered in crime since childhood  with Meyer Lansky and Charlie Luciano, goes to Los Angeles and instantly falls in love with Virginia Hill, a tough-talking Hollywood starlet. The two meet for the first time when Bugsy visits actor George Raft on the set of Manpower. He buys a house in Beverly Hills, planning to stay there while his wife and two daughters remain in Scarsdale, New York."
21,4,0.7542273289083608,"The film opens with a portion of the famous introduction to the novel: “ It was the best of times, it was the worst of times, it was the season of Light, it was the season of Darkness, we had everything before us, we had nothing before us... In short, it was a period very like the present...” Lucie Manette (Elizabeth Allan) and her servant and companion Miss Pross (Edna May Oliver) are informed by elderly banker Mr. Jarvis Lorry (Claude Gillingwater) that her father, Dr. Alexandre Mannette (Henry B. Walthall) is not dead, but has been a prisoner in the Bastille for eighteen years before finally being rescued. She travels with Mr. Lorry to Paris to take her father to her home in England. Dr. Manette has been cared for by a former servant, Ernest De Farge (Mitchell Lewis), and his wife (Blanche Yurka) who own a wine shop in Paris. The old man's mind has given way during his long ordeal, but Lucie's tender care begins to restore his sanity."
22,0,0.29010383828573194,"John Cardwell, a trombone player, is only one of a large group of unemployed musicians. He tries unsuccessfully to gain an interview and audition with Leopold Stokowski, but not to disappoint his daughter, Patricia (Patsy), he tells her that he has managed to get the job with Stokowski's orchestra. Patsy soon learns the truth and also learns that her father, desperate for rent money, has used some of the cash in a lady's evening bag he has found to pay his debts."
23,2,1.0,"Joseph W. Randall is the managing editor of the New York Evening Gazette tabloid newspaper who has been trying to legitimize the paper by reducing sensationalism and improving the reporting, but circulation has dropped dramatically. When owner Bernard Hinchecliffe plans to boost sales with a retrospective series on a 20-year-old murder, hoping to revive the scandal, Randall reluctantly agrees. He had covered the original story about stenographer Nancy Voorhees, who shot her boss after he reneged on his promise to marry her. Her pregnancy won the jury's sympathy, and she was acquitted."
24,2,0.6355632758168567,"Macon Leary (William Hurt) is a Baltimore writer of travel guides for reluctant business travelers, which detail how best to avoid unpleasantness and difficulty."
25,3,1.0,"Upon Caesar's return to Rome, after defeating Pompey in the civil war, his countrymen chose him a fourth time consul and then dictator for life. . . thus he became odious to moderate men through the extravagance of the titles and powers that were heaped upon him."
26,-1,0.664504257462183,"Architect Doug Roberts returns to San Francisco for the dedication of The Glass Tower, a mixed-use skyscraper that he designed for developer James Duncan. The tower, 1,688 feet (515 m) tall and 138 stories, is the world's tallest building. During testing, an electrical short-circuit starts a fire on the 81st floor after another short occurs in the main utility room. While examining the latter short, Roberts sees the wiring is inadequate and suspects that Roger Simmons, the electrical subcontractor and Duncan's son-in-law, cut corners. Simmons, however, feigns innocence."
27,0,0.22295636179244482,"The O'Leary family are traveling to Chicago to start a new life when Patrick O'Leary tries to race a steam train in his wagon. He is killed when his wagon hits a bump and his horses break loose, dragging him. His wife Molly and their three boys are left to survive on their own. In town she agrees to prove her skills as a laundress when a woman's dress is accidentally spattered with mud. She quickly proves herself and builds a laundry business in an area known as ""the Patch"". Her sons are educated. One, Jack, becomes a reforming lawyer, but another, Dion, is involved in gambling. While washing a sheet, Mrs. O'Leary discovers a drawing, apparently created by Gil Warren, a devious local businessman. Her sons realize that it reveals that he has a plan to run a tramline along a street that he and his cronies intend to buy up cheaply."
28,7,1.0,"In the late 1930s, the governor of an unnamed western state, Hubert ""Happy"" Hopper, appoints Jefferson Smith to replace deceased U.S. Senator Sam Foley. Smith is head of the Boy Rangers, and his appointment is supported by the governor’s children. Corrupt political boss Jim Taylor sought the appointment of his handpicked stooge, while popular committees wanted another candidate. Smith, however, was chosen because his naivety about politics was expected to make him easy to manipulate."
29,9,0.6211860758360144,"Young Texan Joe Buck quits his dishwashing job, and heads by bus to New York City in cowboy attire to become a male prostitute. Initially unsuccessful, he finally beds a middle-aged woman, Cass, in her Park Avenue apartment. She is insulted when he requests payment, and Joe ultimately gives money to her."
30,1,0.19744385052453697,"In West Texas, brothers Toby and Tanner Howard rob two branches of the Texas Midlands Bank. Though the robberies are well-planned, Tanner's wild nature leads him to take unnecessary risks, frustrating Toby. Their mother has died after a long illness, leaving their ranch in debt because of a reverse mortgage provided by the Texas Midlands Bank, which would lead to foreclosure if not settled. Meanwhile, oil has been discovered on their land, and Toby is determined to ensure a comfortable life for his two estranged sons."
31,3,0.376074630082067,"Marty Piletti is an Italian-American butcher who lives in The Bronx with his mother. Unmarried at 34, the good-natured but socially awkward Marty faces constant badgering from family and friends to settle down, as they point out that all his brothers and sisters are already married, most of them with children. Not averse to marriage but disheartened by his lack of prospects, Marty has reluctantly resigned himself to bachelorhood."
32,-1,0.6572770705849433,"Karen Blixen recalls her life in Africa, where she moved in 1913 as an unmarried, wealthy Dane."
33,4,0.35906531729923813,The film interweaves between events some time after The Godfather and the early life of Vito Corleone.
34,-1,0.6652606757407868,"A traveler named Lockwood is caught in the snow and stays at the estate of Wuthering Heights, despite the cold behavior of his host Heathcliff. Late that night, after being shown into an upstairs room that was once a bridal chamber, Lockwood is awakened by a cold draft and finds the window shutter flapping back and forth. Just as he is about to close it, he feels an icy hand clutching his and hears a woman outside calling, ""Heathcliff, let me in! I'm lost in the moors. It's Cathy!"" Lockwood calls Heathcliff and tells him what he saw, whereupon the enraged Heathcliff throws him out of the room. Once Lockwood is gone, Heathcliff frantically calls out to Cathy and runs down the stairs and into the snowstorm. Ellen, the housekeeper, tells the amazed Lockwood that he has seen the ghost of Cathy Earnshaw, Heathcliff's only great love, who died years ago. When Lockwood says that he doesn't believe in ghosts, Ellen tells him that he might if she told him the story of Cathy, and he asks her to do so, intrigued."
35,0,1.0,"Eddie Kearns sings ""The Broadway Melody"" and tells some chorus girls that he has brought the Mahoney Sisters vaudeville act to New York to perform it with him in the latest revue being produced by Francis Zanfield. Harriet ""Hank"" Mahoney and her sister Queenie Mahoney are awaiting Eddie's arrival at their apartment. Hank, the older sister, prides herself on her business sense and talent, while Queenie is lauded for her beauty. Hank is confident they will make it big, while Queenie is less eager to put everything on the line to become a star. Hank declines the offer of their Uncle Jed to join a 30-week traveling show but consents to think it over."
36,1,1.0,"In 1976, at a Boston Police station, two policemen discuss the arrest of Fr. John Geoghan for child molestation. A high-ranking cleric talks to the mother of the children. An assistant district attorney then enters the precinct and tells the policemen not to let the press learn what has happened. The arrest is not publicized and Geoghan is released."
37,6,0.07116498112415987,"In 1950, Pablo Neruda, the famous Chilean poet, is exiled to a small island in Italy for political reasons. His wife accompanies him. On the island, a local, Mario Ruoppolo, is dissatisfied with being a fisherman like his father. Mario looks for other work and is hired as a temporary postman, with Neruda as his only customer. He uses his bicycle to hand deliver Neruda's mail. (The island seems to have no cars). Though poorly educated, the postman eventually befriends Neruda and becomes further influenced by Neruda's political views and poetry."
38,9,0.15151815960405512,"Ray Kinsella lives with his wife, Annie, and daughter, Karin, on their corn farm in Dyersville, Iowa. Troubled by his broken relationship with his late father John, a devoted baseball fan, Ray fears growing old without achieving anything."
39,1,0.15392377365336776,"In April 1984, an Amish community outside Lancaster, Pennsylvania, attends the funeral of Jacob Lapp, who leaves behind his wife Rachel and eight-year-old son Samuel. Rachel and Samuel travel by train to visit Rachel's sister, which takes them into Philadelphia. While at 30th Street Station waiting for a connecting train, Samuel goes into the men's room and witnesses the brutal murder of an undercover police officer."
40,-1,0.20355388158084353,"In the early 20th century, as America enters the automobile age, Charles S. Howard opens a bicycle shop in San Francisco. He is soon selling automobiles, becoming the largest car dealer in California and one of the Bay Area's richest men. In the wake of the Great Depression, Canadian John ""Red"" Pollard's family is financially ruined, and he is sent to live with a horse trainer. Years pass and Pollard becomes a jockey, but amateur boxing leaves him blind in one eye."
41,0,0.23290509688664318,"Ted Kramer, a workaholic advertising executive in New York City, has just landed an important account and job promotion. However, when he shares the news with Joanna, his wife of eight years, she shocks him by announcing she is leaving him. She walks out of the apartment without Billy, the couple's seven-year-old son, because she feels she is unfit to be a mother. The next morning when Billy asks about his mother, Ted explains that she went away to be alone for a while. "
42,2,1.0,"Michael Clayton is a ""fixer"" for a prestigious New York City law firm, using his connections and knowledge of legal loopholes for clients' benefit. One night, Michael leaves a poker game to attend to a client who struck a pedestrian with his vehicle in Westchester County. Driving home, Michael sees three horses atop a hill with barren trees. He stops, gets out of his car and approaches them. Behind him, a bomb detonates in his car."
43,7,1.0,"After being used in a ""guess the weight"" contest at a county fair, orphaned piglet Babe is brought home to the farm of the contest winner, Arthur Hoggett. There he is taken in by Border Collie Fly, her irascible mate Rex and their puppies and befriends a duck named Ferdinand, who wakes people by crowing like a rooster every morning so he will be considered useful and be spared from being eaten. "
44,0,0.33467795652382354,"Teenager Dorothy Gale lives on a Kansas farm owned by her Uncle Henry and Aunt Em. When Dorothy's Cairn Terrier Toto bites the wealthy Almira Gulch, Gulch obtains a sheriff's order authorizing her to seize the dog to be destroyed. Toto escapes and returns to Dorothy, who runs away to protect him. Professor Marvel, a charlatan fortune-teller, tells Dorothy to go home because Aunt Em is heartbroken. She returns just as a tornado approaches the farm. Unable to get into the locked storm shelter, Dorothy takes cover in the farmhouse and is knocked unconscious as the tornado lifts the house and drops it intact onto an unknown land."
45,6,1.0,"In 1982, a giant extraterrestrial spaceship arrives and hovers over the South African city of Johannesburg. An investigation team finds over a million malnourished aliens inside, and the South African government relocates them to a camp called District 9. However, over the years, it turns into a slum, and locals often complain that the aliens—derogatorily called ""prawns""—are filthy, ignorant lawbreakers who bleed resources from humans."
46,8,1.0,"In 1941, bugler and career soldier Private Robert E. Lee Prewitt transfers from Fort Shafter to a rifle company at Schofield Barracks on the island of Oahu. Because Prewitt was also a boxer, Captain Dana ""Dynamite"" Holmes wants him on his regimental team. Prewitt refuses. Consequently, Holmes makes Prewitt's life miserable and ultimately orders First Sergeant Milton Warden to prepare a court-martial. Warden suggests doubling Prewitt's company punishment as an alternative. Prewitt is hazed by the other NCOs and is supported only by his close friend, Private Angelo Maggio."
47,-1,0.6032307592427313,"In Billings, Montana, a police officer discovers Woody Grant walking dangerously on the shoulder of the roadway and takes him to the local police station. Woody is picked up by his son David, who learns that Woody wants to go to Lincoln, Nebraska, to collect a million dollar sweepstakes prize he believes he has won. When David sees the sweepstakes letter, he immediately recognizes it as a mail scam designed to get gullible people to purchase magazine subscriptions. David brings his father home, where his mother Kate becomes increasingly annoyed by Woody's insistence on collecting the money."
48,5,0.23054877275249508,"During the Spanish Civil War, an American language teacher, Robert Jordan, who lived in Spain during the pre-war period, fights in the International Brigades against Francisco Franco's forces. An experienced dynamiter, Jordan is ordered to travel behind enemy lines and destroy a critical bridge with the aid of a band of local anti-fascist guerrillas. The bridge must be blown up to prevent enemy troops from traveling across it to respond to an upcoming offensive against the fascists."
49,3,1.0,"Count Alfred (Maurice Chevalier), military attaché to the Sylvanian Embassy in Paris, is ordered back to Sylvania to report to Queen Louise for a reprimand following a string of scandals, including an affair with the ambassador's wife. In the meantime Queen Louise (Jeanette MacDonald), ruler of Sylvania in her own right, is royally fed-up with her subjects' preoccupation with whom she will marry (particularly since they would only be a prince consort)"
50,-1,0.202533368600455,"Orphan Phillip ""Pip"" Pirrip lives with his shrewish older sister and her kindhearted blacksmith husband, Joe Gargery. While visiting his parents' graves alone, Pip encounters an escaped convict, Abel Magwitch, who intimidates the boy into returning the next day with blacksmith's tools to remove his chains. Pip also brings some food. Famished, Magwitch devours the food and thanks him. Magwitch is caught when he attacks a hated fellow escapee rather than fleeing."
51,0,0.3747420697597176,"In 1850, backwoodsman Adam Pontipee arrives at an Oregon Territory town to look for a bride (""Bless Your Beautiful Hide""). He eventually meets Milly and proposes to her after seeing her strength, hardworking attitude, and the quality of her cooking. He is further pleased at Milly’s insistence on finishing her chores before she leaves with him. Despite not knowing him well, she accepts Adam’s proposal under the belief she will be taking care of only him (""Wonderful, Wonderful Day"")."
52,0,0.3103644517850102,"In 1868, Jo March, a teacher in New York City, goes to Mr. Dashwood, an editor who agrees to publish a story she has written. Her youngest sister, Amy, who is in Paris with their Aunt March, attends a party with their childhood friend and neighbor, Laurie. Amy becomes angry at Laurie's drunken behavior, prompting him to mock her for spending time with wealthy businessman Fred Vaughn. Jo becomes hurt when Friedrich Bhaer, a professor interested in her, gives critical feedback on her writing, angering her. After learning from a letter that her younger sister Beth's illness has worsened, Jo returns home to Concord, Massachusetts."
53,2,1.0,"Rachel Cameron is a shy, 35-year-old, unmarried schoolteacher living with her widowed mother in an apartment above the funeral home once owned by her father in a small town in Connecticut. School is out for summer vacation, and Rachel anticipates a typically boring summer at home with her mother. Fellow unmarried teacher and best friend Calla Mackie persuades Rachel to attend a revival meeting, where a visiting preacher encourages Rachel to express her need for the love of Jesus. Rachel is overwhelmed by the experience, expressing so much suppressed emotion that she is embarrassed. Calla tries to comfort Rachel and suddenly kisses her passionately. Rachel is shocked and runs home and then begins to avoid Calla."
54,-1,0.6434787277063864,"In 1947, John Nash arrives at Princeton University as a co-recipient, with Martin Hansen, of the Carnegie Scholarship for Mathematics. He meets fellow math and science graduate students Sol, Ainsley, and Bender, as well as his roommate Charles Herman, a literature student."
55,-1,0.18111135091917674,"Monte Beragon, the second husband of Mildred Pierce, is murdered. The police tell Mildred her first husband, Bert Pierce, is guilty of the murder, because he owned the gun, had a motive, and does not deny the crime. Mildred protests that he is too kind to commit murder and reveals her story to the officer in flashback."
56,0,1.0,"While stuck in Los Angeles traffic, jazz pianist Sebastian ""Seb"" Wilder has a moment of road rage directed at aspiring actress Mia Dolan. After a hard day at work, Mia's next audition goes awry when the casting director takes a phone call during an emotional scene. That night, her roommates take her to a lavish party in the Hollywood Hills, promising her that someone in the crowd could jump-start her career. After her car is towed, she walks home in disappointment."
57,1,0.25685053101991245,"In early 1947, Portland, Maine, banker Andy Dufresne arrives at Shawshank State Prison to serve two consecutive life sentences for murdering his wife and her lover. He is befriended  by Ellis ""Red"" Redding, a contraband smuggler serving a life sentence, who procures a rock hammer and a large poster of Rita Hayworth for Andy. Assigned to work in the prison laundry, Andy is frequently raped by prison gang ""the Sisters"" and their leader, Bogs Diamond. "
58,-1,0.2292419634486298,"In 1924, housewife Roxie Hart watches vaudeville star Velma Kelly perform (""Overture/All That Jazz"") at The Onyx, a Chicago nightclub. Seeking stardom, Roxie begins an affair with furniture salesman Fred Casely, who claims to know the manager. After the show, Velma is arrested for killing her husband and sister upon catching them in bed together. A month later, Casely admits to Roxie that he lied about his connections in order to sleep with her. Enraged, she shoots him dead. She convinces her gullible husband, Amos, to take the fall by telling him she killed a burglar in self-defense. However, when evidence of Roxie's infidelity is uncovered, Amos recants and tells the police that Casely was dead when he arrived home (""Funny Honey""). Roxie is arrested, with District Attorney Martin Harrison declaring she faces execution by hanging."
59,3,1.0,"In 1862, a widowed schoolteacher, Anna, arrives in Bangkok with her young son, Louis, after being summoned to tutor the many children of King Mongkut. Both are introduced to the intimidating Kralahome, Siam's prime minister, who escorts them to the Royal Palace, where they will live, although Anna had been promised her own house. The King ignores her objections and introduces her to his head wife, Lady Thiang. Anna also meets a recent concubine, a young Burmese, Tuptim, and the fifteen children she will tutor, including his son and heir, Prince Chulalongkorn. In conversation with the other wives, Anna learns Tuptim is in love with Lun Tha, who brought her to Siam."
60,1,1.0,"In December 1941, American expatriate Rick Blaine owns a nightclub and gambling den in Casablanca. ""Rick's Café Américain"" attracts a varied clientele, including Vichy French and Nazi German officials, refugees desperate to reach the neutral United States, and those who prey on them. Although Rick professes to be neutral in all matters, he ran guns to Ethiopia in 1935 and fought on the Loyalist side in the Spanish Civil War."
61,-1,0.6488065770511756,"Soon after the Second World War, in the West Riding of Yorkshire, England, Joseph (Joe) Lampton, an ambitious young man, moves from his hometown, the dreary factory town of Dufton, to the somewhat larger town of Warnley to assume a secure but poorly paid and dead-end post in the Borough Treasurer's Department. Determined to get ahead, and ignoring the warnings of his colleague and flatmate Charlie Soames, he pursues Susan Brown, the daughter of a local industrial magnate. She has been dating wealthy Jack Wales but Joe is able to charm her. Mr and Mrs Brown attempt to frustrate Joe's social climbing by persuading Joe's boss to encourage him to pursue a woman of his own class; getting him a job offer back in Dufton, which he refuses when he discovers the machination; and sending Susan on a trip abroad, but Susan remains smitten."
62,3,1.0,"Mademoiselle Henriette Deluzy-Desportes, a French woman, starts teaching at an American girls school. She is confronted by the tales and gossip about her that circulate among her pupils and, thus provoked, she decides to tell them her life story."
63,0,1.0,"Edna Kahly and her adopted sister Charlotte are both to be married. However, when Charlotte's mother-in-law-to-be discovers that Charlotte was a foundling, she declares the wedding must not occur, and Charlotte kills herself from shame.  Meanwhile, Edna falls for Sam Gladney, a brash cashier at a bank, and eventually marries him and moves with him to his home state of Texas."
64,0,0.4222632900682806,"One December, French painter (and famed womanizer) Michel Marnet meets American singer Terry McKay aboard a liner crossing the Atlantic Ocean. They are both already engaged, he to heiress Lois Clarke, she to Kenneth Bradley. They begin to flirt and to dine together on the ship, but his worldwide reputation makes them conscious that others are watching. Eventually, they decide that they should dine separately and not associate with each other. At a stop at Madeira, they visit Michel's grandmother Janou, who bonds with Terry and admits wanting Michel to settle down."
65,-1,0.6418688380831628,"Tom Wingo, a teacher and football coach from South Carolina, is asked by his mother, Lila, to travel to New York City to help his twin sister Savannah's psychiatrist, Susan Lowenstein, after Savannah's latest suicide attempt. Tom hates New York but reluctantly accepts, largely to take the opportunity to be alone and away from a life that does not satisfy him. "
66,5,0.3225593149344691,"In the waning days of World War II, the U.S. cargo ship Reluctant operates in areas of the Pacific Ocean far from enemy action. Lt. Doug Roberts, the executive officer and cargo chief, shields the dispirited crew from their harsh captain, Lt Cdr. Morton. Roberts shares quarters with Ens. Frank Thurlowe Pulver, the laundry and morale officer, who avoids the captain so completely that Morton is initially unaware that Pulver is a crew member. Eager to join the fighting, Roberts repeatedly requests a transfer, but Morton's refusal to endorse his requests results in them being rejected."
67,8,0.4396447790516435,"In 1973 Phnom Penh, the Cambodian national army wages a civil war with the communist Khmer Rouge group. Dith Pran, a Cambodian journalist and interpreter for The New York Times, awaits the arrival of reporter Sydney Schanberg at the city's airport, but leaves suddenly. Schanberg takes a cab to his hotel where he meets up with photographer Al Rockoff. Pran meets Schanberg later and tells him that an American B-52 has allegedly bombed Neak Leung. After Schanberg and Pran go to the town and confirm the allegation, they are arrested when they try to photograph the execution of two Khmer Rouge operatives. They are eventually released and Schanberg is furious when the international press corps arrives with the U.S. Army."
68,1,1.0,"In 1953 Los Angeles, the LAPD is trying to positively redefine its public image following decades of corruption. Career-focused sergeant Edmund Exley lives in the shadow of his legendary detective father whose murderer was never identified; Exley names the suspect ""Rollo Tomasi"", representing any criminal who escapes justice. Fame-seeking narcotics sergeant Jack Vincennes collaborates with tabloid journalist Sid Hudgens to perform high-profile celebrity arrests, and volatile officer Wendell ""Bud"" White uses violence to interrogate and intimidate suspects, particularly women-abusers, because his father murdered his mother."
69,0,0.23499242022784328,"After eight months' treatment in a mental health facility for bipolar disorder, Patrizio ""Pat"" Solitano Jr. is released into the care of his parents, Patrizio Sr. and Dolores, at his childhood home in Upper Darby Township, Pennsylvania. His primary focus is to reconcile with his ex-wife, Nikki. She has moved away and obtained a restraining order against him after Pat found her in the shower with another man and badly beat him."
70,-1,0.18111135091917685,"In the rural Ozarks of Missouri, seventeen-year-old Ree Dolly looks after her mentally ill mother, Connie, twelve-year-old brother Sonny, and six-year-old sister Ashlee. She makes sure her siblings eat and teaches them survival skills such as hunting and cooking. The family is destitute. Ree's father, Jessup, has not been home for a long time; his whereabouts are unknown. He is out on bail following an arrest for manufacturing meth."
71,2,0.5190341197044378,"On January 20, 1997, Colonel Tom Parker, former manager of Elvis Presley, has a heart attack and is rushed to a hospital in Las Vegas. Nursing a gambling addiction that has left him destitute, Parker recounts the story of how he first met ""The King of Rock 'n' Roll."""
72,-1,0.6195417625965149,"Homer Wells grows up at St. Cloud's, a Maine orphanage directed by avuncular Dr. Wilbur Larch. Homer is returned to St. Cloud's twice by foster parents. The first family felt Homer was too quiet (due to orphanage babies soon learning that crying is pointless). The second beat him. Dr. Larch is addicted to ether, and he secretly performs abortions. Conditions at the orphanage are sparse, but the children have love and respect, and they are like an extended family. Older children, such as Buster, look out for the younger children, and in particular care for those who are sickly, including Fuzzy Stone, who was born prematurely to an alcoholic mother. Fuzzy suffers from respiratory disease and thus spends most of his time beneath a plastic tent ventilated with a breathing apparatus. Each night before sleeping, Dr. Larch says to children ""Good night, you Princes of Maine! You Kings of New England!"" as both an encouragement and a kind of blessing."
